BIN	Q1_25	Q1_5	Q2	Q5	Q10	Q25	Q50	Q100	Q200	Q500
1077170	38	49	66	116	160	228	290	357	433	539
1077250	275	334	406	590	710	865	978	1089	1207	1355
1077260	87	108	135	212	268	342	401	462	524	610
1077300	84	106	135	221	286	377	449	526	607	718
1077360	182	216	256	356	421	502	560	616	675	746
1077420	124	153	193	308	402	538	654	772	899	1068
1077450	245	302	374	557	680	838	956	1070	1192	1344
1077470	207	253	319	507	648	838	997	1155	1319	1556
1077550	67	84	109	190	261	369	467	582	709	915
1077600	248	304	386	637	847	1159	1427	1762	2064	2573
1077712	37	47	62	109	150	213	269	334	406	521
1077730	97	122	159	276	378	530	665	824	992	1262
1077940	154	182	218	316	388	485	558	641	717	834
1077950	117	148	194	335	450	613	755	901	1057	1289
1077960	1305	1514	1777	2470	2949	3559	4007	4517	4953	5648
1078000	7	9	12	22	31	45	57	70	85	108
1078061	5639	6633	8009	11853	14685	18583	21884	25138	28575	33476
1078062	5640	6634	8010	11855	14687	18587	21889	25144	28582	33484
1078190	1302	1618	2072	3436	4504	6004	7295	8605	10008	12056
1078540	39	51	70	127	177	257	332	414	508	643
1078550	390	486	626	1043	1374	1838	2239	2647	3082	3720
1078630	63	79	104	182	249	352	443	548	665	849
1078650	128	152	183	269	335	427	499	582	661	784
1078670	190	237	298	455	560	698	799	901	1006	1146
1078690	68	85	109	170	212	268	308	350	391	446
1078711	223	281	365	623	831	1125	1382	1646	1928	2345
1078720	172	204	244	352	428	525	598	679	752	867
1078760	42	50	61	91	113	143	166	192	217	254
1078790	151	198	269	500	695	977	1228	1491	1777	2206
1078830	37	47	60	97	125	161	188	219	247	289
1078840	188	232	295	487	648	882	1081	1308	1540	1896
1078860	53	61	70	96	114	138	157	177	196	225
1078870	375	425	487	652	770	922	1036	1166	1281	1465
1078880	697	784	892	1179	1383	1647	1845	2072	2271	2590
1078890	79	89	102	137	162	195	220	249	274	315
1078900	17	19	21	29	34	41	46	53	58	67
1078920	170	213	269	438	577	772	937	1106	1287	1529
1078930	331	401	492	744	925	1163	1344	1548	1735	2026
1078970	94	117	151	258	350	487	607	743	894	1127
1079010	215	249	290	389	453	532	588	642	699	767
1079072	99	121	151	236	306	404	488	572	662	779
1079080	71	87	106	155	187	226	255	282	311	345
1079201	5984	7327	9222	14531	18744	24393	29257	34361	39835	47262
1079220	18	22	26	37	45	53	60	66	72	79
1079230	130	155	185	258	303	358	397	433	471	515
1079300	99	120	146	220	272	341	394	452	505	589
1079330	322	393	487	746	929	1165	1341	1536	1711	1981
1079380	272	319	381	548	671	835	961	1105	1236	1440
1079390	155	191	238	356	433	531	603	674	746	841
